Property ID 	 Description 	 Represents 	 Domain 	 Allowed Values 	 Examples 	 Data Type
P110	illustrator (Q644687) :illustrator of a book	illustrator (Q644687)	work (Q386724)	Person (note: this should be moved to the property statements)	According to this template: Le Petit Prince (Q25338) => Antoine de Saint-Exupéry (Q2908), The Hobbit (Q74287) => J. R. R. Tolkien (Q892), Eugene Onegin (Q50948) => Ilya Repin (Q172911), The Smurfs (Q11221) => Peyo (Q309945) According to statements in the property: Le Petit Prince (Q25338) ? Antoine de Saint-Exupéry (Q2908) The Hobbit (Q74287) ? J. R. R. Tolkien (Q892) Eugene Onegin (Q50948) ? Ilya Repin (Q172911) The Smurfs (Q11221) ? Peyo (Q309945) When possible, data should only be stored as statements	Item
P1639	other work in a pair of opposing artworks, such as wedding portraits, commissioned together, but not always	pendant (Q591644)	creative work, Painting, sculpture	null	Portrait of Stephanus Geeraerdts (Q17644055) Portrait of Isabella Coymans (Q17644271) (note: this should be moved to the property statements)	Item
P113	The hubs of that airline	airline hub (Q4811588)	Airlines - airline (Q46970)	airport (Q1248784) (note: this should be moved to the property statements)	Lufthansa (Q9325) ? Frankfurt Airport (Q46033) British Airways (Q8766) ? Heathrow Airport (Q8691) Air France (Q131005) ? Paris-Charles de Gaulle Airport (Q46280)	Item
P1636	Date a person was baptised. Important for cases with unknown date of birth.	baptism (Q35856)	People	Dates (note: this should be moved to the property statements)	According to this template: Ludwig van Beethoven (Q255) => 17 December 1770 According to statements in the property: Princess Estelle, Duchess of Östergötland (Q214025) ? 22 May 2012 João de Loureiro (Q729917) ? 8 September 1717 When possible, data should only be stored as statements	Point in time
P1878	null	Vox-ATypI classification (Q1437688)	typeface (Q17451)	instance of Vox-ATypI classification ( Q1437688) (note: this should be moved to the property statements)	Didot (Q933861) ? Didone (Q693749)	Item
P1999	null	Red Book of Endangered Languages (Q925553)	languoid (Q17376908)	listed here (note: this should be moved to the property statements)	Japanese (Q5287) ? 1 safe (Q20672086) Ainu languages (Q27969) ? 5 critically endangered (Q20672090) Atayal language (Q715766) ? 2 vulnerable (Q20672087) Kunigami language (Q56558) ? 3 definitely endangered (Q20672088) Yaeyama language (Q34203) ? 4 severely endangered (Q20672089) Ketagalan language (Q6395298) ? 6 extinct (Q20672091)	Item
P355	Subsidiaries of a company. Opposite of parent organization (P749).	subsidiary company (Q658255)	organisations, specifically company (Q783794)	organisations, specifically company (Q783794) (note: this should be moved to the property statements)	The Walt Disney Company (Q7414) ? Walt Disney Studios Motion Pictures (Q1323594) and Walt Disney Animation Studios (Q1047410)	Item
P112	Founder or co-founder of organization or place	null	Organization, place	Person (note: this should be moved to the property statements)	According to this template: Apple Inc. (Q312) => Steve Jobs (Q19837) According to statements in the property: Apple Inc. (Q312) ? Steve Jobs (Q19837) When possible, data should only be stored as statements	Item
P1637	null	landing gear (Q263421)	aircraft (Q11436)	Subclasses of landing gear (Q263421) (note: this should be moved to the property statements)	According to this template: Cessna 172 Skyhawk (Q244479) -> undercarriage -> tricycle gear (Q2874353) According to statements in the property: Cessna 172 Skyhawk (Q244479) ? tricycle gear (Q2874353) When possible, data should only be stored as statements	Item
P1876	null	null	spaceflight (Q5916) ?	instances of spacecraft (Q40218) (ex.: Columbia, Discovery,... ) (note: this should be moved to the property statements)	STS-1 (Q217543) ? Columbia (Q54383) Soyuz TMA-8 (Q1231148) ? Soyuz-TMA (Q2425489)	Item
P1877	null	null	Qualifier of creator (P170)	human (Q5) (note: this should be moved to the property statements)	According to this template: The bellows repairer (Q1989774) => Cornelis Massijs (Q2199365) after a work by Hieronymus Bosch (Q130531) According to statements in the property: The bellows repairer (Q1989774) ? Hieronymus Bosch (Q130531) When possible, data should only be stored as statements	Item
P1753	A list article corresponding to the membership of this category.	list of a Wikimedia project (Q13406463)	Wikimedia category (Q4167836)	an instance of a subclass of list of a Wikimedia project (Q13406463) (note: this should be moved to the property statements)	According to this template: Category:Geographers (Q7233691) => List of geographers (Q3243996) According to statements in the property: Category:Geographers (Q7233691) ? List of geographers (Q3243996) When possible, data should only be stored as statements	Item
P1995	The medical specialty that is most concerned with a particular medical condition	medical specialty (Q930752)	Medical conditions	One or more instance of medical specialty (Q930752) (note: this should be moved to the property statements)	According to this template: pneumonia (Q12192) => Infectious disease (Q16920362), pulmonology (Q203337); cataract (Q127724) => ophthalmology (Q161437); According to statements in the property: cataract (Q127724) ? ophthalmology (Q161437) pneumonia (Q12192) ? Infectious disease (Q788926) pulmonology (Q203337) ? ophthalmology (Q161437) When possible, data should only be stored as statements	Item
P1754	A list article corresponding to the membership of this category.	Wikimedia category (Q4167836)	list of a Wikimedia project (Q13406463)	an instance of a subclass of Wikimedia category (Q4167836) (note: this should be moved to the property statements)	According to this template: List of geographers (Q3243996) => Category:Geographers (Q7233691) According to statements in the property: List of geographers (Q3243996) ? Category:Geographers (Q7233691) When possible, data should only be stored as statements	Item
P1875	null	null	human (Q5), group of humans (Q16334295)	human (Q5), group of humans (Q16334295) (an agent can also be an individual person) (note: this should be moved to the property statements)	Tyra Banks (Q172303) ? Elite Model Management (Q616374) Michaël Borremans (Q284808) ? Zeno X (Q4473899)	Item
P119	Resting place or place of burial, ash-scattering, etc, for a person. Most specific location possible.	burial (Q331055), grave (Q173387)	people	places, several in case of re-burials, cenotaphs (note: this should be moved to the property statements)	Christian Doppler (Q84284) ? San Michele Cemetery (Q3676942) Vasco da Gama (Q7328) ? Jerónimos Monastery (Q272781) and Church of Santa Engrácia (Q1601019) Dennis Wilson (Q453611) ? burial at sea (Q630013) Paracelsus (Q83428) ? Tomb of Paracelsus (Q19971847) Ramesses I (Q1526) ? KV16 (Q2634186)	Item
P1872	null	player (Q4197743)	games (any kind, no matter if board games, sports, video games, …)	integers (note: this should be moved to the property statements)	According to this template: Mensch ärgere dich nicht (Q545129) => 2 According to statements in the property: Mensch ärgere dich nicht (Q545129) ? 2 When possible, data should only be stored as statements	Number
P118	sports league (Q623109) where the team plays	sports league (Q623109)	sports teams, like football clubs - sports team (Q12973014)	sports league (Q623109) (note: this should be moved to the property statements)	According to this template: Bologna F.C. 1909 (Q1893) => Serie A (Q15804) According to statements in the property: Bologna F.C. 1909 (Q1893) ? Serie A (Q15804) When possible, data should only be stored as statements	Item
P1752	Proportional ratio of a linear dimension of a model to the same feature of the original	scale (Q10858537)	model railway scales, scale models, statues/sculptures, toys, prototypes, relplicas, anything else produced to a scale ratio. Map scales could either be included or as a separate property, I don't know which is preferable.	1:n (for smaller than lifesize), 1:1 (for lifesize), n:1 (for larger than lifesize). n is a decimal number (note: this should be moved to the property statements)	Scalextric (Q1683328) 1:32, HO scale (Q911411) 1:87.1 (note: this should be moved to the property statements)	Number
P1873	null	player (Q4197743)	games (any kind, no matter if board games, sports, video games, …)	integers (note: this should be moved to the property statements)	According to this template: Mensch ärgere dich nicht (Q545129) => 6 According to statements in the property: Mensch ärgere dich nicht (Q545129) ? 6 When possible, data should only be stored as statements	Number
P1750	day of the year associated with a first/given name. Useful for Wikidata:WikiProject Names. A qualifier can be used to identify the calendar that is being used. Distinguish from "feast day" (P:P841).	name day (Q216584)	items for given names, first names	items for specific days of the year (note: this should be moved to the property statements)	According to this template: Lucy (Q13365715) = December 13 (Q2379) According to statements in the property: Lucy (Q13365715) ? December 13 (Q2379) When possible, data should only be stored as statements	Item
P1990	species or taxa present at a zoo or other place, NOT specific animals.	null	zoos, aquaria, botanical gardens, botanical collections, etc.	any species or other taxons (note: this should be moved to the property statements)	North Carolina Zoo (Q1850938) ? polar bear (Q33609) Florida Aquarium (Q3074266) ? pelagic thresher (Q1274522) Arboretum de la Vallée-aux-Loups (Q2859716) ? Sequoiadendron giganteum (Q149851)	Item
